index,celebrity_age_during_season,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,fame_1,fame_1.1,fame_1.2,fame_1.3,fame_1.4
0,50,5,48.33333333,1,0,0,0,0,0,0,49,72.31288491813308,106.7174147996562,157.49069663608591,232.42054329636488
1,29,6,42.66666667,1,0,0,0,0,0,0,114,183.06079178697712,293.9583639445171,472.0372882112955,757.9957871310279
2,42,2,15.0,0,0,0,0,0,1,0,47,69.0728926279167,101.5120105529299,149.185706497159,219.24868694676914
3,35,3,31.66666667,0,0,1,0,0,0,0,24,32.9786114475993,45.316200542155286,62.26939041505117,85.56491798236814
4,32,4,35.16666667,0,0,0,1,0,0,0,31,43.70165288902177,61.60756339459819,86.8500758325527,122.43522152965917
5,32,1,12.33333333,0,0,0,0,0,0,1,39,56.25628739463053,81.14794542121189,117.05338818203819,168.84587297651242
6,42,2,13.33333333,1,0,0,0,0,0,0,118,190.13856330404124,306.37858690953266,493.68122323814305,795.4901569210344
7,39,5,38.33333333,1,0,0,0,0,0,0,167,278.6044944985786,464.79319972939186,775.4100266885276,1293.6090929023135
8,66,6,43.33333333,1,0,0,0,0,0,0,109,174.24853993250795,278.5555382441356,445.3017965977478,711.8641090502762
9,42,7,56.16666667,1,0,0,0,0,0,0,129,209.72426513862055,340.96331308476255,554.3277540769863,901.2091540289751
10,26,8,73.38883333,0,0,0,0,0,1,0,1690,3553.655918356774,7472.467684066333,15712.768645095894,33040.10253811578
11,43,9,60.05553333,0,0,0,0,0,1,0,637,1214.9359290953917,2317.2202697125285,4419.582670803556,8429.371708581795
12,44,3,23.0,0,0,0,0,0,0,1,48,70.69120116166508,104.10929003497905,153.32522426376747,225.80717232473725
13,35,4,16.66666667,0,0,0,1,0,0,0,865,1701.0525025651273,3345.1787473792806,6578.410034401391,12936.671505107532
14,29,10,73.1666,0,0,0,1,0,0,0,107,170.73484139522105,272.43351463786223,434.7092795554957,693.6450457751242
15,46,1,4.333333333,0,0,0,0,0,0,1,74,113.80330944684268,175.01612487910566,269.1542461865422,413.9276211851177
16,54,3,20.0,1,0,0,0,0,0,0,79,122.28967770665166,189.3008262480598,293.03211432250754,453.6050989645331
17,42,4,32.33333333,1,0,0,0,0,0,0,157,260.3092600463528,431.59815838139906,715.5987085708954,1186.4775179504156
