index,celebrity_age_during_season,weeks,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,celebrity_fame_1,celebrity_fame_1.1,celebrity_fame_1.2,celebrity_fame_1.3,celebrity_fame_1.4,ballroom_fame_1,ballroom_fame_1.1,ballroom_fame_1.2,ballroom_fame_1.3,ballroom_fame_1.4
0,50,6,5.0,48.33333333333333,1,0,0,0,0,0,0,49,72.31288491813308,106.7174147996562,157.49069663608591,232.42054329636488,0,0.0,0.0,0.0,0.0
1,29,6,6.0,42.66666666666666,1,0,0,0,0,0,0,114,183.06079178697712,293.9583639445171,472.0372882112955,757.9957871310279,0,0.0,0.0,0.0,0.0
2,42,3,2.0,15.0,0,0,0,0,0,1,0,47,69.0728926279167,101.5120105529299,149.185706497159,219.24868694676914,12,15.385066247841788,19.725021954206706,25.289230792133658,32.423040924494714
3,35,4,3.0,31.666666666666668,0,0,1,0,0,0,0,24,32.9786114475993,45.316200542155286,62.26939041505117,85.56491798236814,2,2.1435469250725863,2.2973967099940698,2.4622888266898326,2.6390158215457884
4,32,5,4.0,35.16666666666667,0,0,0,1,0,0,0,31,43.70165288902177,61.60756339459819,86.8500758325527,122.43522152965917,0,0.0,0.0,0.0,0.0
5,32,2,1.0,12.333333333333332,0,0,0,0,0,0,1,39,56.25628739463053,81.14794542121189,117.05338818203819,168.84587297651242,0,0.0,0.0,0.0,0.0
6,42,2,2.0,13.333333333333334,1,0,0,0,0,0,0,83,129.11773577858514,200.86011677817484,312.4651022484354,486.0817652065305,17,22.56803847310483,29.959785913149386,39.77256477258468,52.799339527161436
7,39,5,5.0,38.333333333333336,1,0,0,0,0,0,0,123,199.01949622581813,322.02243803234467,521.046694232577,843.0768341162217,0,0.0,0.0,0.0,0.0
8,66,6,6.0,43.33333333333333,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,771,1498.8556724613386,2913.8369998307753,5664.618827268594,11012.251701145025
9,42,7,7.0,56.16666666666667,1,0,0,0,0,0,0,98,155.00606210939196,245.17223765980262,387.7875826346324,613.3614910113748,34,48.37564947394369,68.82951358899608,97.9315418483329,139.33829237934694
10,26,8,8.0,73.38883333333334,0,0,0,0,0,1,0,1098,2211.375909511406,4453.718955525856,8969.80583422967,18065.22088780539,43,62.634743194944704,91.23514081620159,132.89510733435824,193.5779283663287
11,43,8,9.0,60.05553333333334,0,0,0,0,0,1,0,495,920.5888676588002,1712.0886126410317,3184.100438874209,5921.7119546163485,0,0.0,0.0,0.0,0.0
12,44,3,3.0,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,5.873094715440096,6.898648307306074,8.103282983463814,9.518269693579391
13,35,4,4.0,16.666666666666664,0,0,0,1,0,0,0,668,1280.1300981011912,2453.1932156655134,4701.207293160285,9009.216996088777,39,56.25628739463053,81.14794542121189,117.05338818203819,168.84587297651242
14,29,8,10.0,73.1666,0,0,0,1,0,0,0,97,153.2670885632895,242.17320037801238,382.6513541236297,604.6171029002984,123,199.01949622581813,322.02243803234467,521.046694232577,843.0768341162217
15,46,1,1.0,4.333333333333333,0,0,0,0,0,0,1,64,97.00586025666551,147.03338943962046,222.86094420380783,337.7940251578608,0,0.0,0.0,0.0,0.0
16,54,3,3.0,20.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,56.25628739463053,81.14794542121189,117.05338818203819,168.84587297651242
17,42,4,4.0,32.33333333333333,1,0,0,0,0,0,0,104,165.47663209633416,263.29342086486054,418.9318128638442,666.5713987569286,17,22.56803847310483,29.959785913149386,39.77256477258468,52.799339527161436
18,25,8,8.0,66.5,1,0,0,0,0,0,0,427,782.4753454857504,1433.8821224661442,2627.5817544790098,4815.030307091369,34,48.37564947394369,68.82951358899608,97.9315418483329,139.33829237934694
19,30,9,9.0,77.66666666666667,1,0,0,0,0,0,0,123,199.01949622581813,322.02243803234467,521.046694232577,843.0768341162217,771,1498.8556724613386,2913.8369998307753,5664.618827268594,11012.251701145025
20,32,10,10.0,89.55553333333334,1,0,0,0,0,0,0,369,666.3908154665664,1203.4599429219372,2173.37304266964,3924.975160481497,109,174.24853993250795,278.5555382441356,445.3017965977478,711.8641090502762
21,37,10,11.0,85.88886666666667,0,0,0,0,0,1,0,372,672.3528248377866,1215.2105405036307,2196.3716120437352,3969.7221982557157,123,199.01949622581813,322.02243803234467,521.046694232577,843.0768341162217
22,31,2,2.0,13.333333333333332,0,0,1,0,0,0,0,173,289.6347811475164,484.903505493466,811.8203508165523,1359.1410961841148,0,0.0,0.0,0.0,0.0
23,25,5,5.0,40.66666666666667,0,0,0,1,0,0,0,642,1225.430064047367,2339.0636166217014,4464.7334540928305,8522.147356080051,0,0.0,0.0,0.0,0.0
24,35,5,6.0,35.0,0,0,0,1,0,0,0,476,881.795032597145,1633.5346208256278,3026.1401559233177,5605.9566332687555,43,62.634743194944704,91.23514081620159,132.89510733435824,193.5779283663287
25,62,7,7.0,47.66666666666667,0,0,0,0,0,0,1,330,589.3392062915007,1052.486969916047,1879.6116226741506,3356.754005585037,0,0.0,0.0,0.0,0.0
26,37,1,1.0,4.0,0,0,0,0,0,0,1,750,1454.0099876910579,2818.8600590737965,5464.8675730622745,10594.62937685537,0,0.0,0.0,0.0,0.0
