index,celebrity_age_during_season,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
0,50,5,48.33333333,1,0,0,0,0,0,0
1,29,6,42.66666667,1,0,0,0,0,0,0
2,42,2,15,0,0,0,0,0,1,0
3,35,3,31.66666667,0,0,1,0,0,0,0
4,32,4,35.16666667,0,0,0,1,0,0,0
5,32,1,12.33333333,0,0,0,0,0,0,1
6,42,2,13.33333333,1,0,0,0,0,0,0
7,39,5,38.33333333,1,0,0,0,0,0,0
8,66,6,43.33333333,1,0,0,0,0,0,0
9,42,7,56.16666667,1,0,0,0,0,0,0
10,26,8,73.38883333,0,0,0,0,0,1,0
11,43,9,60.05553333,0,0,0,0,0,1,0
12,44,3,23,0,0,0,0,0,0,1
13,35,4,16.66666667,0,0,0,1,0,0,0
14,29,10,73.1666,0,0,0,1,0,0,0
15,46,1,4.333333333,0,0,0,0,0,0,1
16,54,3,20,1,0,0,0,0,0,0
17,42,4,32.33333333,1,0,0,0,0,0,0
18,25,8,66.5,1,0,0,0,0,0,0
19,30,9,77.66666667,1,0,0,0,0,0,0
20,32,10,89.55553333,1,0,0,0,0,0,0
21,37,11,85.88886667,0,0,0,0,0,1,0
22,31,2,13.33333333,0,0,1,0,0,0,0
23,25,5,40.66666667,0,0,0,1,0,0,0
24,35,6,35,0,0,0,1,0,0,0
25,62,7,47.66666667,0,0,0,0,0,0,1
26,37,1,4,0,0,0,0,0,0,1
27,59,6,44.5,1,0,0,0,0,0,0
28,42,8,72.83333333,1,0,0,0,0,0,0
29,44,4,26,0,0,0,0,0,1,0
30,29,9,87.4444,0,0,0,0,0,1,0
31,24,11,89.61106667,0,0,0,0,0,1,0
32,28,2,20,0,0,1,0,0,0,0
33,41,1,13.33333333,0,0,1,0,0,0,0
34,39,5,44.33333333,0,0,1,0,0,0,0
35,45,7,50.66666667,0,0,0,1,0,0,0
36,30,10,89.22216667,0,0,0,1,0,0,0
37,50,3,25.33333333,0,0,0,0,0,0,1
38,38,8,64.66666667,1,0,0,0,0,0,0
39,56,7,57,1,0,0,0,0,0,0
40,23,6,54,1,0,0,0,0,0,0
41,35,9,75.83333333,1,0,0,0,0,0,0
42,30,4,27.66666667,0,0,0,0,0,1,0
43,29,1,5.333333333,0,0,1,0,0,0,0
44,22,2,14,0,0,1,0,0,0,0
45,32,12,88.8333,0,0,0,0,0,1,0
46,32,11,90.77773333,0,0,0,1,0,0,0
47,65,3,17.33333333,0,0,0,1,0,0,0
48,47,10,80.83333333,0,0,0,1,0,0,0
49,49,5,34,0,0,0,0,0,0,1
50,34,10,82.5,1,0,0,0,0,0,0
51,49,3,18.33333333,1,0,0,0,0,0,0
52,62,5,38,1,0,0,0,0,0,0
53,42,6,44.66666667,1,0,0,0,0,0,0
54,34,7,56.5,1,0,0,0,0,0,0
55,35,9,69.66666667,1,0,0,0,0,0,0
56,33,11,87.16666667,0,0,0,0,0,1,0
57,36,12,94,0,0,0,0,0,1,0
58,34,2,10,0,0,0,0,0,1,0
59,53,1,11,1,0,0,0,0,0,0
60,43,4,24.66666667,0,0,0,0,0,0,1
61,21,8,67.33333333,0,0,0,1,0,0,0
62,50,2,6.166666667,1,0,0,0,0,0,0
63,82,7,35,1,0,0,0,0,0,0
64,61,8,51.16666667,1,0,0,0,0,0,0
65,18,10,68.5,1,0,0,0,0,0,0
66,31,4,14,0,0,0,0,0,1,0
67,34,9,59.83333333,0,0,0,0,0,1,0
68,35,12,80.83333333,0,0,0,0,0,1,0
69,43,1,4,1,0,0,0,0,0,0
70,40,6,37.16666667,0,0,0,1,0,0,0
71,29,11,81.16666667,0,0,0,1,0,0,0
72,27,3,11.83333333,0,0,0,0,0,0,1
73,41,5,23.83333333,0,0,0,0,0,0,1
74,37,13,89.83333333,0,0,0,0,0,0,1
75,33,12,101.5,1,0,0,0,0,0,0
76,38,2,18.33333333,1,0,0,0,0,0,0
77,52,5,34.66666667,1,0,0,0,0,0,0
78,50,7,46,0,0,0,0,0,1,0
79,39,10,72.66666667,0,0,0,0,0,1,0
80,17,13,97,0,0,0,0,0,1,0
81,58,4,17.33333333,0,0,0,0,1,0,0
82,50,1,11.66666667,0,0,0,1,0,0,0
83,29,8,61.16666667,0,0,0,1,0,0,0
84,34,9,76.66666667,0,0,0,1,0,0,0
85,34,6,31.66666667,0,0,0,0,0,0,1
86,30,3,23,0,0,0,0,0,0,1
87,26,11,97.83333333,0,0,0,0,0,0,1
88,34,1,6.3333,1,0,0,0,0,0,0
89,45,5,20,1,0,0,0,0,0,0
90,33,8,45.66663333,1,0,0,0,0,0,0
91,45,11,56.49993333,1,0,0,0,0,0,0
92,39,6,25,0,0,0,0,0,1,0
93,27,7,39.99993333,0,0,0,0,0,1,0
94,21,9,42.6666,0,0,0,0,0,1,0
95,43,10,45.1666,0,0,0,0,0,1,0
96,30,13,81.1666,0,0,1,0,0,0,0
97,46,3,12.66663333,0,0,1,0,0,0,0
98,62,4,17.66663333,0,0,0,0,1,0,0
99,42,2,6.3333,0,0,0,1,0,0,0
100,21,12,68.83323333,0,0,0,1,0,0,0
101,29,15,94.77766667,0,0,0,1,0,0,0
102,51,16,88.22206667,0,0,0,1,0,0,0
103,24,14,81.57386667,0,0,0,0,0,0,1
104,32,3,23.5,1,0,0,0,0,0,0
105,38,1,12.66666667,1,0,0,0,0,0,0
106,40,7,55.99993333,1,0,0,0,0,0,0
107,80,2,13,0,0,0,0,1,0,0
108,32,8,66.49996667,0,0,0,0,0,1,0
109,24,10,87.62956667,0,0,0,0,0,1,0
110,42,6,54.6666,0,0,1,0,0,0,0
111,31,11,93.59253333,0,0,0,1,0,0,0
112,32,9,83.1666,0,0,0,0,0,0,1
113,35,4,25.66666667,0,0,0,0,0,0,1
114,32,5,42.66663333,0,0,0,0,0,0,1
115,58,1,5,1,0,0,0,0,0,0
116,76,5,31.83333333,1,0,0,0,0,0,0
117,19,11,82.48603333,1,0,0,0,0,0,0
118,50,12,89.95833333,1,0,0,0,0,0,0
119,41,7,55.45833333,0,0,0,0,0,1,0
120,39,8,58.74996667,0,0,0,0,0,1,0
121,41,3,17,1,0,0,0,0,0,0
122,57,2,9.333333333,0,0,0,1,0,0,0
123,31,9,79.79163333,0,0,0,1,0,0,0
124,28,4,22.33333333,0,0,0,0,0,0,1
125,25,6,48.6666,0,0,0,0,0,0,1
126,19,10,73.68046667,0,0,0,0,0,0,1
127,49,8,69.58333333,1,0,0,0,0,0,0
128,22,9,86.55553333,1,0,0,0,0,0,0
129,60,10,79.66663333,1,0,0,0,0,0,0
130,35,11,86.4722,0,0,0,0,0,1,0
131,54,3,25,0,0,0,0,0,1,0
132,40,5,44.66666667,0,0,0,0,0,1,0
133,31,4,35.33333333,0,0,1,0,0,0,0
134,32,1,10,0,0,0,0,0,0,1
135,21,7,62.5,0,0,0,1,0,0,0
136,46,2,15.33333333,0,0,0,0,0,0,1
137,25,6,49.29166667,0,0,0,0,0,0,1
138,33,2,12,1,0,0,0,0,0,0
139,40,7,51.5,1,0,0,0,0,0,0
140,42,10,88.6666,1,0,0,0,0,0,0
141,28,12,87.72216667,1,0,0,0,0,0,0
142,31,1,4.666666667,0,0,0,0,0,1,0
143,30,9,69.1666,0,0,0,0,0,1,0
144,43,4,30,0,0,0,1,0,0,0
145,24,3,21.66666667,0,0,0,0,0,0,1
146,41,5,32.33333333,0,0,0,0,0,0,1
147,42,6,37.66666667,0,0,0,0,0,0,1
148,51,8,56.33333333,0,0,0,0,0,0,1
149,24,11,81.27766667,0,0,0,0,0,0,1
150,31,10,92.55553333,1,0,0,0,0,0,0
151,52,2,22.66666667,1,0,0,0,0,0,0
152,44,3,30.33333333,1,0,0,0,0,0,0
153,35,6,60.49993333,1,0,0,0,0,0,0
154,20,7,69.33326667,1,0,0,0,0,0,0
