index,celebrity_age_during_season,weeks,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,celebrity_fame_1,celebrity_fame_1.1,celebrity_fame_1.2,celebrity_fame_1.3,celebrity_fame_1.4,ballroom_fame_1,ballroom_fame_1.1,ballroom_fame_1.2,ballroom_fame_1.3,ballroom_fame_1.4,season
16,54,3,3.0,20.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,56.25628739463053,81.14794542121189,117.0533881820382,168.84587297651242,3
17,42,4,4.0,32.33333333333333,1,0,0,0,0,0,0,104,165.47663209633416,263.29342086486054,418.9318128638442,666.5713987569286,17,22.56803847310483,29.959785913149386,39.77256477258468,52.79933952716144,3
18,25,8,8.0,66.5,1,0,0,0,0,0,0,427,782.4753454857504,1433.8821224661442,2627.5817544790098,4815.030307091369,34,48.37564947394369,68.82951358899608,97.9315418483329,139.33829237934694,3
19,30,9,9.0,77.66666666666667,1,0,0,0,0,0,0,123,199.01949622581813,322.02243803234467,521.046694232577,843.0768341162217,771,1498.8556724613386,2913.8369998307758,5664.618827268594,11012.251701145024,3
20,32,10,10.0,89.55553333333334,1,0,0,0,0,0,0,369,666.3908154665664,1203.4599429219372,2173.37304266964,3924.975160481497,109,174.24853993250795,278.5555382441356,445.3017965977478,711.8641090502762,3
21,37,10,11.0,85.88886666666667,0,0,0,0,0,1,0,372,672.3528248377866,1215.210540503631,2196.3716120437352,3969.722198255716,123,199.01949622581813,322.02243803234467,521.046694232577,843.0768341162217,3
22,31,2,2.0,13.333333333333332,0,0,1,0,0,0,0,173,289.6347811475164,484.903505493466,811.8203508165523,1359.1410961841148,0,0.0,0.0,0.0,0.0,3
23,25,5,5.0,40.66666666666667,0,0,0,1,0,0,0,642,1225.430064047367,2339.0636166217014,4464.733454092831,8522.147356080051,0,0.0,0.0,0.0,0.0,3
24,35,5,6.0,35.0,0,0,0,1,0,0,0,476,881.795032597145,1633.5346208256278,3026.1401559233177,5605.956633268756,43,62.634743194944704,91.2351408162016,132.89510733435824,193.5779283663287,3
25,62,7,7.0,47.66666666666667,0,0,0,0,0,0,1,330,589.3392062915007,1052.486969916047,1879.6116226741503,3356.754005585037,0,0.0,0.0,0.0,0.0,3
26,37,1,1.0,4.0,0,0,0,0,0,0,1,750,1454.009987691058,2818.8600590737965,5464.8675730622745,10594.62937685537,0,0.0,0.0,0.0,0.0,3
27,59,7,6.0,44.5,1,0,0,0,0,0,0,193,326.6728488261277,552.9282391719064,935.8893424181404,1584.0913869105952,2095,4500.931775704546,9669.874391191814,20774.91404028014,44633.16025843782,4
28,42,9,8.0,72.83333333333333,1,0,0,0,0,0,0,104,165.47663209633416,263.29342086486054,418.9318128638442,666.5713987569286,288,507.3781218831488,893.8630505752469,1574.7449854917045,2774.274837443356,4
29,44,5,4.0,26.0,0,0,0,0,0,1,0,133,216.8886397719965,353.689338813134,576.7759368198303,940.5725442862546,6,7.177387193107894,8.585814486631532,10.270619156458231,12.286035066475314,4
30,29,10,9.0,87.4444,0,0,0,0,0,1,0,170,284.11477128140115,474.8306074134282,793.5669966039702,1326.2594455094422,11,13.98079776731155,17.769336928223957,22.584500550247288,28.7044849880676,4
31,24,10,11.0,89.61106666666666,0,0,0,0,0,1,0,109,174.24853993250795,278.5555382441356,445.3017965977478,711.8641090502762,363,654.4813681826378,1180.0161468270437,2127.5443037271843,3835.917649511138,4
32,28,3,2.0,20.0,0,0,1,0,0,0,0,136,222.27611589052924,363.284350701323,593.7458414536981,970.408231356484,17,22.56803847310483,29.959785913149386,39.77256477258468,52.79933952716144,4
