season,index,celebrity_name,week,ADCI_actual,ADCI_rule1,ADCI_rule2,ADCI_rule4
1,0,John O'Hurley,1,16.232382183635405,16.87634736922421,16.232382183635405,16.232382183635405
1,1,Kelly Monaco,1,79.58496530628022,16.548446243835794,15.916993061256044,15.916993061256044
1,2,Evander Holyfield,1,15.70580750151265,16.328882607071094,15.70580750151265,15.70580750151265
1,3,Rachel Hunter,1,15.846250911946694,16.474897637606347,15.846250911946694,15.846250911946694
1,4,Joey McIntyre,1,16.891213338871307,17.561315435380116,16.891213338871307,16.891213338871307
1,5,Trista Sutter,1,15.432941050352147,16.04519109690972,15.432941050352147,15.432941050352147
1,0,John O'Hurley,2,16.54522530366578,17.201601488180774,16.54522530366578,16.54522530366578
1,1,Kelly Monaco,2,16.055910792563104,16.69287506905444,16.055910792563104,16.055910792563104
1,2,Evander Holyfield,2,18.07298641132332,93.94985690524568,18.07298641132332,90.36493205661658
1,3,Rachel Hunter,2,15.767877079389637,16.39341458675607,15.767877079389637,15.767877079389637
1,4,Joey McIntyre,2,15.34023581699176,15.948808095115188,15.34023581699176,15.34023581699176
1,5,Trista Sutter,2,15.437596446960992,16.05003118072635,15.437596446960992,15.437596446960992
1,0,John O'Hurley,3,17.651157331364427,18.351407650643413,17.651157331364427,17.651157331364427
1,1,Kelly Monaco,3,16.1349398580317,16.775039346978957,16.1349398580317,16.1349398580317
1,2,Evander Holyfield,3,86.40511493732706,89.83294735569709,86.40511493732706,17.281022987465413
1,3,Rachel Hunter,3,16.179996475374857,16.821883434122977,16.179996475374857,16.179996475374857
1,4,Joey McIntyre,3,15.64278591609052,16.26336085214252,15.64278591609052,15.64278591609052
1,0,John O'Hurley,4,16.95616554562799,17.628844402553433,16.95616554562799,16.95616554562799
1,1,Kelly Monaco,4,18.365792770779656,19.09439384832476,18.365792770779656,18.365792770779656
1,3,Rachel Hunter,4,16.785322893660844,17.451224142787513,16.785322893660844,16.785322893660844
1,4,Joey McIntyre,4,15.497001260656736,80.55896340335417,77.48500630328368,15.497001260656736
1,0,John O'Hurley,5,15.688324031983578,16.310705539672487,15.688324031983578,15.688324031983578
1,1,Kelly Monaco,5,19.4694075712071,20.24179085531534,19.4694075712071,19.4694075712071
1,4,Joey McIntyre,5,100.0,20.793432754729018,100.0,100.0
1,0,John O'Hurley,6,92.0484122847817,95.70012355115904,92.0484122847817,92.0484122847817
1,1,Kelly Monaco,6,18.409682456956343,19.140024710231813,18.409682456956343,18.409682456956343
2,6,Tatum O'Neal,1,16.07548470022119,16.71322550568623,16.07548470022119,16.07548470022119
2,7,Tia Carrere,1,17.397029959739122,18.087198629992077,17.397029959739122,17.397029959739122
2,8,George Hamilton,1,15.610317962335154,16.22960484148773,15.610317962335154,15.610317962335154
2,9,Lisa Rinna,1,16.10632602622155,16.745290357598982,16.10632602622155,16.10632602622155
2,10,Stacy Keibler,1,15.579194977614913,16.19724715699239,15.579194977614913,15.579194977614913
2,11,Jerry Rice,1,15.401580337693426,16.012586253419247,15.401580337693426,15.401580337693426
2,12,Giselle Fernandez,1,16.137704881674438,16.777914063637983,16.137704881674438,16.137704881674438
2,13,Master P,1,76.47604132699549,15.901994226807581,15.295208265399097,15.295208265399097
2,14,Drew Lachey,1,15.461323178402713,16.0746991904625,15.461323178402713,15.461323178402713
2,15,Kenny Mayne,1,16.036760500832344,16.67296505388759,16.036760500832344,16.036760500832344
2,6,Tatum O'Neal,2,15.40530204454875,16.016455606480694,15.40530204454875,15.40530204454875
2,7,Tia Carrere,2,15.551347521395273,16.168294946577717,15.551347521395273,15.551347521395273
2,8,George Hamilton,2,15.50509925618971,16.120211936948984,15.50509925618971,15.50509925618971
2,9,Lisa Rinna,2,15.588120567315942,16.20652683945462,15.588120567315942,15.588120567315942
2,10,Stacy Keibler,2,15.56209525357444,16.179469058894387,15.56209525357444,15.56209525357444
2,11,Jerry Rice,2,15.421754181099823,16.033560426233013,15.421754181099823,15.421754181099823
2,12,Giselle Fernandez,2,16.263774940175665,16.908985527829483,16.263774940175665,16.263774940175665
2,13,Master P,2,78.04533480638732,81.14152105584635,78.04533480638732,78.04533480638732
2,14,Drew Lachey,2,15.47236509238014,16.086179155251155,15.47236509238014,15.47236509238014
