season,tau_规则1_vs_规则3_排名vs粉丝,p_value_规则1_vs_规则3,tau_规则2_vs_规则3_百分比vs粉丝,p_value_规则2_vs_规则3,tau_规则1_vs_规则2_排名vs百分比,p_value_规则1_vs_规则2,更倾向于粉丝投票的规则,tau差异绝对值,平均tau_与粉丝投票,选手数量
1,0.5520524474738833,0.12597116307723114,0.2142857142857143,0.5593049468922574,-0.13801311186847082,0.7020563949269414,规则1_排名相加,0.33776673318816897,0.3831690808797988,6
2,0.7165410061057311,0.0063909522513854455,0.2655425022718972,0.3059862752012399,0.511766315719159,0.0449654850244224,规则1_排名相加,0.45099850383383394,0.49104175418881413,10
3,0.23425474049997796,0.3541172807095687,0.17036708399998396,0.5003655603717838,0.24489795918367346,0.32456975067655036,规则1_排名相加,0.063887656499994,0.20231091224998096,11
4,0.03739787960033829,0.8748829885276901,0.03774256780481986,0.8745178069735404,0.36698792170878686,0.11834981273562831,规则2_百分比相加,0.0003446882044815733,0.03757022370257908,11
5,0.5175491695067657,0.028825709884396776,-0.033149677206589796,0.8861580032037647,0.19215378456610457,0.3997620026349865,规则1_排名相加,0.5506988467133554,0.24219974615008794,12
6,0.40406101782088427,0.08392153214435713,-0.2525381361380527,0.2800386282926325,-0.15873015873015872,0.4854108668524648,规则1_排名相加,0.656599153958937,0.07576144084141578,12
7,0.5716619504750294,0.010475931507367647,-0.014291548761875737,0.948975984686745,0.23611111111111116,0.28405428037304314,规则1_排名相加,0.5859534992369052,0.27868520085657683,13
8,-0.2520504151250417,0.2537464424633379,-0.5461092327709237,0.013405551034645309,0.6533333333333332,0.002442248091825069,规则1_排名相加,0.294058817645882,-0.3990798239479827,13
9,0.15717365336548286,0.44804422497380336,0.13226800072792796,0.5180369715584355,0.5100245681582997,0.011570781258622823,规则1_排名相加,0.024905652637554898,0.1447208270467054,16
10,0.6538461538461539,0.006803470965228415,0.3208118263409688,0.1794851606186384,0.28306925853614895,0.23624711143032007,规则1_排名相加,0.3330343275051851,0.48732899009356134,11
11,0.047619047619047616,0.8342234813351881,-0.5396825396825397,0.017695454278666867,0.36507936507936506,0.10859491608565455,规则1_排名相加,0.5873015873015872,-0.24603174603174602,12
12,0.23076923076923078,0.3394919362418195,0.4113766756037212,0.0832645166635504,0.44877455520405946,0.05882352786428735,规则2_百分比相加,0.18060744483449043,0.321072953186476,11
13,-0.3,0.19845950378573296,-0.3090350231003688,0.1797804406446586,0.16265001215808886,0.48017787239817433,规则1_排名相加,0.0090350231003688,-0.30451751155018436,12
14,0.25620504608813943,0.2615528269182732,-0.11208970766356101,0.6232894461697851,0.5538461538461539,0.013130393607248951,规则1_排名相加,0.36829475375170045,0.0720576692122892,12
15,0.4626813958590447,0.03378536827880774,0.34722222222222227,0.11516952871033652,0.3265986323710904,0.1340493884823317,规则1_排名相加,0.11545917363682245,0.4049518090406335,13
16,0.09230769230769231,0.6793364108057058,0.030769230769230774,0.8904066970721064,0.6769230769230771,0.002434456047037444,规则1_排名相加,0.06153846153846154,0.06153846153846154,12
17,0.1951800145897066,0.3968726148202476,-0.03202563076101743,0.8883905237734155,0.48443413863644524,0.031616296187431815,规则1_排名相加,0.22720564535072402,0.0815771919143446,12
18,0.4844341386364453,0.031616296187431815,-0.5000610463343952,0.02651678331779042,-0.030769230769230774,0.8904066970721064,规则1_排名相加,0.9844951849708405,-0.007813453848974944,12
19,0.07145774380937868,0.748995739249977,-0.400772744796517,0.06725046695608863,0.3491899510776648,0.10624108269146998,规则1_排名相加,0.47223048860589567,-0.16465750049356914,13
20,0.5530100413375021,0.016374653731804197,0.16265001215808886,0.48017787239817433,0.5238095238095237,0.02132574936812073,规则1_排名相加,0.39036002917941326,0.35783002674779546,12
21,0.1632993161855452,0.4537599142817236,-0.14969103983674978,0.49225206323230397,0.3866666666666666,0.07289207209614158,规则1_排名相加,0.31299035602229497,0.006804138174397706,13
22,0.17189598467744832,0.4456844189376925,-0.15626907697949846,0.48812161956343303,0.43076923076923085,0.0537240940094444,规则1_排名相加,0.3281650616569468,0.00781345384897493,12
23,0.21773242158072692,0.3178519032465589,-0.3894810992789338,0.07159186440981306,-0.026318067798390753,0.9020417486847996,规则1_排名相加,0.6072135208596607,-0.08587433884910345,13
