index,celebrity_age_during_season,1,2,3,4,5,6,7,8,9,10,11,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,fame_1,fame_1.1,fame_1.2,fame_1.3,fame_1.4
0,50,0.18348623853211,0.2148760330578512,0.2264150943396226,0.2282608695652173,0.3698630136986301,0.4954128440366973,,,,,,1,0,0,0,0,0,0,49,72.31288491813308,106.7174147996562,157.49069663608591,232.42054329636488
1,29,0.1192660550458715,0.140495867768595,0.1981132075471698,0.2826086956521739,0.3219178082191781,0.5045871559633028,,,,,,1,0,0,0,0,0,0,114,183.06079178697712,293.9583639445171,472.0372882112955,757.9957871310279
2,42,0.165137614678899,0.1157024793388429,0.1226415094339622,,,,,,,,,0,0,0,0,0,1,0,47,69.0728926279167,101.5120105529299,149.185706497159,219.24868694676914
3,35,0.18348623853211,0.1983471074380165,0.2452830188679245,0.2717391304347826,,,,,,,,0,0,1,0,0,0,0,24,32.9786114475993,45.316200542155286,62.26939041505117,85.56491798236814
4,32,0.18348623853211,0.1735537190082644,0.2075471698113207,0.217391304347826,0.3082191780821918,,,,,,,0,0,0,1,0,0,0,31,43.70165288902177,61.60756339459819,86.8500758325527,122.43522152965917
5,32,0.165137614678899,0.1570247933884297,,,,,,,,,,0,0,0,0,0,0,1,39,56.25628739463053,81.14794542121189,117.05338818203819,168.84587297651242
6,42,0.1179487179487179,0.0849999999999999,,,,,,,,,,1,0,0,0,0,0,0,118,190.13856330404124,306.37858690953266,493.68122323814305,795.4901569210344
7,39,0.1025641025641025,0.1099999999999999,0.1428571428571428,0.1582278481012658,0.1456953642384106,,,,,,,1,0,0,0,0,0,0,167,278.6044944985786,464.79319972939186,775.4100266885276,1293.6090929023135
8,66,0.0923076923076923,0.1099999999999999,0.1208791208791208,0.1329113924050633,0.1589403973509933,0.1729323308270676,,,,,,1,0,0,0,0,0,0,109,174.24853993250795,278.5555382441356,445.3017965977478,711.8641090502762
9,42,0.0974358974358974,0.0999999999999999,0.1373626373626373,0.1645569620253164,0.1655629139072847,0.2030075187969924,0.2598039215686274,,,,,1,0,0,0,0,0,0,129,209.72426513862055,340.96331308476255,554.3277540769863,901.2091540289751
10,26,0.1128205128205128,0.145,0.1483516483516483,0.1645569620253164,0.1986754966887417,0.225563909774436,0.2696078431372549,0.339920718960216,,,,0,0,0,0,0,1,0,1690,3553.655918356774,7472.467684066333,15712.768645095894,33040.10253811578
11,43,0.1076923076923077,0.1149999999999999,0.1043956043956044,0.1518987341772152,0.152317880794702,0.1729323308270676,0.2009803921568627,0.3162063678588072,,,,0,0,0,0,0,1,0,637,1214.9359290953917,2317.2202697125285,4419.582670803556,8429.371708581795
12,44,0.1179487179487179,0.12,0.1208791208791208,,,,,,,,,0,0,0,0,0,0,1,48,70.69120116166508,104.10929003497905,153.32522426376747,225.80717232473725
13,35,0.0615384615384615,0.0799999999999999,0.0769230769230769,0.050632911392405,,,,,,,,0,0,0,1,0,0,0,865,1701.0525025651273,3345.1787473792806,6578.410034401391,12936.671505107532
