index,celebrity_age_during_season,1,2,3,4,5,6,7,8,9,10,11,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
0,50,0.18348623853211,0.2148760330578512,0.2264150943396226,0.2282608695652173,0.3698630136986301,0.4954128440366973,,,,,,1,0,0,0,0,0,0
1,29,0.1192660550458715,0.140495867768595,0.1981132075471698,0.2826086956521739,0.3219178082191781,0.5045871559633028,,,,,,1,0,0,0,0,0,0
2,42,0.165137614678899,0.1157024793388429,0.1226415094339622,,,,,,,,,0,0,0,0,0,1,0
3,35,0.18348623853211,0.1983471074380165,0.2452830188679245,0.2717391304347826,,,,,,,,0,0,1,0,0,0,0
4,32,0.18348623853211,0.1735537190082644,0.2075471698113207,0.217391304347826,0.3082191780821918,,,,,,,0,0,0,1,0,0,0
5,32,0.165137614678899,0.1570247933884297,,,,,,,,,,0,0,0,0,0,0,1
6,42,0.1179487179487179,0.0849999999999999,,,,,,,,,,1,0,0,0,0,0,0
7,39,0.1025641025641025,0.1099999999999999,0.1428571428571428,0.1582278481012658,0.1456953642384106,,,,,,,1,0,0,0,0,0,0
8,66,0.0923076923076923,0.1099999999999999,0.1208791208791208,0.1329113924050633,0.1589403973509933,0.1729323308270676,,,,,,1,0,0,0,0,0,0
9,42,0.0974358974358974,0.0999999999999999,0.1373626373626373,0.1645569620253164,0.1655629139072847,0.2030075187969924,0.2598039215686274,,,,,1,0,0,0,0,0,0
10,26,0.1128205128205128,0.145,0.1483516483516483,0.1645569620253164,0.1986754966887417,0.225563909774436,0.2696078431372549,0.339920718960216,,,,0,0,0,0,0,1,0
11,43,0.1076923076923077,0.1149999999999999,0.1043956043956044,0.1518987341772152,0.152317880794702,0.1729323308270676,0.2009803921568627,0.3162063678588072,,,,0,0,0,0,0,1,0
12,44,0.1179487179487179,0.12,0.1208791208791208,,,,,,,,,0,0,0,0,0,0,1
13,35,0.0615384615384615,0.0799999999999999,0.0769230769230769,0.050632911392405,,,,,,,,0,0,0,1,0,0,0
14,29,0.123076923076923,0.1349999999999999,0.1483516483516483,0.1772151898734177,0.1788079470198675,0.225563909774436,0.2696078431372549,0.3438729131809768,,,,0,0,0,1,0,0,0
15,46,0.0666666666666666,,,,,,,,,,,0,0,0,0,0,0,1
16,54,0.080188679245283,0.0913043478260869,0.1062801932367149,,,,,,,,,1,0,0,0,0,0,0
17,42,0.1037735849056603,0.1043478260869565,0.1304347826086956,0.1212121212121212,,,,,,,,1,0,0,0,0,0,0
18,25,0.0896226415094339,0.1130434782608695,0.1304347826086956,0.1212121212121212,0.149171270718232,0.1949152542372881,0.2,0.2431192660550458,,,,1,0,0,0,0,0,0
