index,celebrity_industry,celebrity_age_during_season,placement,season,1,2,3,4,5,6,7,8,9,10,11,weeks,elimination_order,score_sum
0,Actor/Actress,50,2,1,0.18348623853211007,0.21487603305785122,0.22641509433962262,0.22826086956521738,0.36986301369863017,0.49541284403669733,,,,,,6,5.0,1.7183140932301288
1,Actor/Actress,29,1,1,0.11926605504587154,0.14049586776859505,0.1981132075471698,0.2826086956521739,0.3219178082191781,0.5045871559633028,,,,,,6,6.0,1.5669887901962911
2,Athlete,42,5,1,0.16513761467889906,0.11570247933884298,0.12264150943396225,,,,,,,,,3,2.0,0.40348160345170425
3,Model,35,4,1,0.18348623853211007,0.1983471074380165,0.2452830188679245,0.2717391304347826,,,,,,,,4,3.0,0.8988554952728336
4,Singer/Rapper,32,3,1,0.18348623853211007,0.17355371900826444,0.20754716981132074,0.21739130434782608,0.3082191780821918,,,,,,,5,4.0,1.090197609781713
5,TV Personality,32,6,1,0.16513761467889906,0.15702479338842973,,,,,,,,,,2,1.0,0.32216240806732876
6,Actor/Actress,42,9,2,0.11794871794871796,0.08499999999999999,,,,,,,,,,2,2.0,0.20294871794871794
7,Actor/Actress,39,6,2,0.10256410256410257,0.10999999999999999,0.14285714285714285,0.15822784810126583,0.1456953642384106,,,,,,,5,5.0,0.6593444577609219
8,Actor/Actress,66,5,2,0.09230769230769231,0.10999999999999999,0.12087912087912088,0.1329113924050633,0.15894039735099336,0.17293233082706766,,,,,,6,6.0,0.7879709337699374
9,Actor/Actress,42,4,2,0.09743589743589744,0.09999999999999999,0.13736263736263737,0.16455696202531644,0.16556291390728478,0.20300751879699247,0.25980392156862747,,,,,7,7.0,1.1277298510967562
10,Athlete,26,3,2,0.11282051282051282,0.145,0.14835164835164835,0.16455696202531644,0.1986754966887417,0.22556390977443608,0.2696078431372549,0.339920718960216,,,,8,8.0,1.6044970917581263
11,Athlete,43,2,2,0.1076923076923077,0.11499999999999999,0.1043956043956044,0.1518987341772152,0.152317880794702,0.17293233082706766,0.20098039215686272,0.3162063678588072,,,,8,9.0,1.321423617902567
