index,season,week,placement,Judge_Share,Has_Previous_Week,is_eliminated,log_fame,age_scaled,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,pred_V,pred_sigma,pred_total_score
16,3,1,9,0.080188679245283,0,0,5.248606116111175,1.1065437448523123,1,0,0,0,0,0,0,0.09140714333775066,0.7207345012441134,0.17159582258303366
17,3,1,8,0.1037735849056603,0,0,6.069809256416506,0.23374764821002,1,0,0,0,0,0,0,0.0912507942317404,0.716920801682503,0.1950243791374007
18,3,1,4,0.0896226415094339,0,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.0910459792762309,0.7116932864971595,0.1806686207856648
19,3,1,3,0.0990566037735849,0,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.09072509663049955,0.7096635916972831,0.18978170040408443
20,3,1,2,0.1226415094339622,0,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.09135151493156604,0.7159116268380499,0.21399302436552825
21,3,1,1,0.1132075471698113,0,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.09075276254526082,0.7205992856406277,0.20396030971507212
22,3,1,10,0.0849056603773584,0,0,6.51669439740386,-0.5663154403787483,0,0,1,0,0,0,0,0.08928972920983622,0.7180958662011666,0.1741953895871946
23,3,1,7,0.1037735849056603,0,0,8.159153179977599,-1.0027134886998943,0,0,0,1,0,0,0,0.0920013489275854,0.7163741512266837,0.19577493383324568
24,3,1,6,0.070754716981132,0,0,7.559260492708042,-0.2753834081646507,0,0,0,1,0,0,0,0.09217157925633401,0.7199113286269956,0.16292629623746602
25,3,1,5,0.0754716981132075,0,0,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.09032050040498323,0.7328857197348142,0.16579219851819071
26,3,1,11,0.0566037735849056,0,1,8.2883571931613,-0.1299173920576019,0,0,0,0,0,0,1,0.08968355124821274,0.7218455861602064,0.14628732483311835
16,3,2,9,0.0913043478260869,1,0,5.248606116111175,1.1065437448523123,1,0,0,0,0,0,0,0.10041249223068177,0.7207345012441134,0.19171684005676867
17,3,2,8,0.1043478260869565,1,0,6.069809256416506,0.23374764821002,1,0,0,0,0,0,0,0.10024073975249174,0.716920801682503,0.20458856583944823
18,3,2,4,0.1130434782608695,1,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.10001574661324843,0.7116932864971595,0.21305922487411794
19,3,2,3,0.1260869565217391,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.09966325090016827,0.7096635916972831,0.22575020742190738
20,3,2,2,0.0913043478260869,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.10035138336435195,0.7159116268380499,0.19165573119043885
21,3,2,1,0.1043478260869565,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.09969364243577022,0.7205992856406277,0.20404146852272673
