celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status,Unnamed: 8
John O'Hurley,1,2005,John O'Hurley,https://en.wikipedia.org/wiki/John_O%27Hurley,0,49,Success,
Kelly Monaco,1,2005,Kelly Monaco,https://en.wikipedia.org/wiki/Kelly_Monaco,0,114,Success,
Evander Holyfield,1,2005,Evander Holyfield,https://en.wikipedia.org/wiki/Evander_Holyfield,0,47,Success,
Rachel Hunter,1,2005,Rachel Hunter,https://en.wikipedia.org/wiki/Rachel_Hunter,0,24,Success,
Joey McIntyre,1,2005,Joey McIntyre,https://en.wikipedia.org/wiki/Joey_McIntyre,0,31,Success,
Trista Sutter,1,2005,Trista Sutter,https://en.wikipedia.org/wiki/Trista_Sutter,0,39,Success,
Tatum O'Neal,2,2006,Tatum O'Neal,https://en.wikipedia.org/wiki/Tatum_O%27Neal,0,118,Success,
Tia Carrere,2,2006,Tia Carrere,https://en.wikipedia.org/wiki/Tia_Carrere,0,167,Success,
George Hamilton,2,2006,George Hamilton (actor),https://en.wikipedia.org/wiki/George_Hamilton_(actor),0,109,Success,
Lisa Rinna,2,2006,Lisa Rinna,https://en.wikipedia.org/wiki/Lisa_Rinna,0,129,Success,
Stacy Keibler,2,2006,Stacy Keibler,https://en.wikipedia.org/wiki/Stacy_Keibler,0,1690,Success,
Jerry Rice,2,2006,Jerry Rice,https://en.wikipedia.org/wiki/Jerry_Rice,0,637,Success,
Giselle Fernandez,2,2006,Giselle_Fernández,https://en.wikipedia.org/wiki/Giselle_Fern%C3%A1ndez,0,48,Success,
Master P,2,2006,Master P,https://en.wikipedia.org/wiki/Master_P,0,865,Success,
Drew Lachey,2,2006,Drew Lachey,https://en.wikipedia.org/wiki/Drew_Lachey,0,107,Success,
Kenny Mayne,2,2006,Kenny Mayne,https://en.wikipedia.org/wiki/Kenny_Mayne,0,74,Success,
Harry Hamlin,3,2006,Harry Hamlin,https://en.wikipedia.org/wiki/Harry_Hamlin,0,79,Success,
Vivica A. Fox,3,2006,Vivica A. Fox,https://en.wikipedia.org/wiki/Vivica_A._Fox,0,157,Success,
Monique Coleman,3,2006,Monique Coleman,https://en.wikipedia.org/wiki/Monique_Coleman,0,427,Success,
Joey Lawrence,3,2006,Joey Lawrence,https://en.wikipedia.org/wiki/Joey_Lawrence,0,158,Success,
Mario Lopez,3,2006,Mario Lopez,https://en.wikipedia.org/wiki/Mario_Lopez,0,424,Success,
Emmitt Smith,3,2006,Emmitt Smith,https://en.wikipedia.org/wiki/Emmitt_Smith,0,438,Success,
Shanna Moakler,3,2006,Shanna Moakler,https://en.wikipedia.org/wiki/Shanna_Moakler,0,228,Success,
Willa Ford,3,2006,Willa Ford,https://en.wikipedia.org/wiki/Willa_Ford,0,897,Success,
Sara Evans,3,2006,Sara Evans,https://en.wikipedia.org/wiki/Sara_Evans,0,544,Success,
