season,player_index,player_name,predicted_votes,mu,elimination_order
1,0,John O'Hurley,187270.83173807178,5.232544853584284,4
1,1,Kelly Monaco,11860009.342400251,9.380920746523838,5
1,2,Evander Holyfield,6.146185283299742,-5.234778645139339,1
1,3,Rachel Hunter,156.7753247116065,-1.8581804505618664,2
1,4,Joey McIntyre,4665.317042850943,1.53997376612102,3
1,5,Trista Sutter,1.0,-9.060480270527936,0
2,0,Tatum O'Neal,731.1173844474379,-0.3131812550630809,1
2,1,Tia Carrere,673.5756989880398,-0.39515489660743686,4
2,2,George Hamilton,414.0840408085287,-0.881686332214382,5
2,3,Lisa Rinna,705.85619759389,-0.34834375194184763,6
2,4,Stacy Keibler,1623.4916925288705,0.4845791919558673,7
2,5,Jerry Rice,30800.156233036574,3.4275197588893698,8
2,6,Giselle Fernandez,83.9788863254263,-2.4771898685805667,2
2,7,Master P,1310.7486725242254,0.2705984761310496,3
2,8,Drew Lachey,17166.035853252335,2.842932768335448,9
2,9,Kenny Mayne,73.52909598715374,-2.6100740909044187,0
3,0,Harry Hamlin,655.8977871796649,-0.42175017945385895,2
3,1,Vivica A. Fox,1070.3523627876748,0.06798804022965743,3
3,2,Monique Coleman,1420.8101776997632,0.35122739153891214,7
3,3,Joey Lawrence,2129.582168092864,0.7559259302140994,8
3,4,Mario Lopez,957.098187542243,-0.04384915852914789,9
3,5,Emmitt Smith,297833.3140818882,5.696534116243351,10
3,6,Shanna Moakler,74.13595730838644,-2.601854475602985,1
3,7,Willa Ford,351.0063054610221,-1.046950956450915,4
3,8,Sara Evans,489.8049506063066,-0.7137478921612057,5
3,9,Jerry Springer,364.21073968246446,-1.010022488753382,6
3,10,Tucker Carlson,355.7594558850189,-1.033500327274524,0
4,0,John Ratzenberger,175.51299713155296,-1.7400420932616025,5
4,1,Ian Ziering,26532.482841623143,3.278369837787932,7
4,2,Clyde Drexler,153.50741387375285,-1.8740063264423212,3
4,3,Laila Ali,21469.50828471663,3.0666337970203483,8
4,4,Apolo Anton Ohno,94767.65445404744,4.551428241124773,10
4,5,Shandi Finnessey,281.70526653919904,-1.2668938208876521,1
4,6,Paulina Porizkova,4.555340969818794,-5.391454807082498,0
4,7,Heather Mills,47.05769300820056,-3.056380831407629,4
4,8,Billy Ray Cyrus,11281.840277303916,2.423194465741352,6
4,9,Joey Fatone,29242.893873203688,3.3756366874833175,9
4,10,Leeza Gibbons,34.51072140351335,-3.3664851500760298,2
5,0,Cameron Mathison,7513.613937573996,2.016646754295804,7
5,1,Jane Seymour,676.753480381717,-0.3910918463249251,6
5,2,Sabrina Bryan,3186.0465862887395,1.1586338885116663,5
5,3,Jennie Garth,5568.271920794276,1.7169951072113536,8
5,4,Floyd Mayweather Jr. ,529.820408989439,-0.6360357742804688,3
5,5,Josie Maran,1.0,-7.463996418325422,0
5,6,Albert Reed,3.8218024451957615,-5.6854144349872,1
5,7,Helio Castroneves,45662.992348522275,3.8212658016904504,11
5,8,Mel B,8520.987124752748,2.1424690945731815,10
5,9,Wayne Newton,4644.087390137619,1.5354899820018866,2
5,10,Marie Osmond,10348.024238236108,2.3367413477967043,9
5,11,Mark Cuban,576.4019487755546,-0.5517035021630337,4
6,0,Cristian de la Fuente,6116.556950680815,1.810976722514639,9
6,1,Steve Guttenberg,197.5559817080412,-1.6224349288495779,2
6,2,Priscilla Presley,110.37455992778855,-2.2051318324515874,4
6,3,Marlee Matlin,1071.364602636653,0.06880384546866192,5
6,4,Shannon Elizabeth,245.76202740106262,-1.4039555533624075,6
6,5,Marissa Jaret Winokur,4436.900087411393,1.489924751467743,8
6,6,Jason Taylor,13964.66745664857,2.6365204928953405,10
6,7,Kristi Yamaguchi,12242.520625541418,2.5049038998744155,11
6,8,Monica Seles,1802.022431791849,0.5888327361220564,1
6,9,Penn Jillette,110.69626145042774,-2.2022177838911206,0
6,10,Adam Carolla,144.14982694292073,-1.9378637902694562,3
6,11,Mario,1312.2549779600108,0.271641440481293,7
7,0,Ted McGinley,315.6116924030151,-1.1532426426029612,1
7,1,Cloris Leachman,707.8567866754184,-0.34551348453461145,6
7,2,Susan Lucci,455.05415766412244,-0.787338839359262,7
7,3,Cody Linley,887.1354769607482,-0.11975757226844586,9
