celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status
John O'Hurley,1,2005,John O'Hurley,https://en.wikipedia.org/wiki/John_O%27Hurley,0,49,Success
Kelly Monaco,1,2005,Kelly Monaco,https://en.wikipedia.org/wiki/Kelly_Monaco,0,114,Success
Evander Holyfield,1,2005,Evander Holyfield,https://en.wikipedia.org/wiki/Evander_Holyfield,0,47,Success
Rachel Hunter,1,2005,Rachel Hunter,https://en.wikipedia.org/wiki/Rachel_Hunter,0,24,Success
Joey McIntyre,1,2005,Joey McIntyre,https://en.wikipedia.org/wiki/Joey_McIntyre,0,31,Success
Trista Sutter,1,2005,Trista Sutter,https://en.wikipedia.org/wiki/Trista_Sutter,0,39,Success
Tatum O'Neal,2,2006,Tatum O'Neal,https://en.wikipedia.org/wiki/Tatum_O%27Neal,0,83,Success
Tia Carrere,2,2006,Tia Carrere,https://en.wikipedia.org/wiki/Tia_Carrere,0,123,Success
George Hamilton,2,2006,George Hamilton (actor),https://en.wikipedia.org/wiki/George_Hamilton_(actor),0,0,Success
Lisa Rinna,2,2006,Lisa Rinna,https://en.wikipedia.org/wiki/Lisa_Rinna,0,98,Success
Stacy Keibler,2,2006,Stacy Keibler,https://en.wikipedia.org/wiki/Stacy_Keibler,0,1098,Success
Jerry Rice,2,2006,Jerry Rice,https://en.wikipedia.org/wiki/Jerry_Rice,0,495,Success
Giselle Fernandez,2,2006,Barbie & Teresa: Recipe for Friendship,https://en.wikipedia.org/wiki/Barbie_%26_Teresa:_Recipe_for_Friendship,0,0,Success
Master P,2,2006,Master P,https://en.wikipedia.org/wiki/Master_P,0,668,Success
Drew Lachey,2,2006,Drew Lachey,https://en.wikipedia.org/wiki/Drew_Lachey,0,97,Success
Kenny Mayne,2,2006,Kenny Mayne,https://en.wikipedia.org/wiki/Kenny_Mayne,0,64,Success
Harry Hamlin,3,2006,Mayfair Witches,https://en.wikipedia.org/wiki/Mayfair_Witches,0,0,Success
Vivica A. Fox,3,2006,Vivica A. Fox,https://en.wikipedia.org/wiki/Vivica_A._Fox,0,104,Success
Monique Coleman,3,2006,Monique Coleman,https://en.wikipedia.org/wiki/Monique_Coleman,0,427,Success
Joey Lawrence,3,2006,Joey Lawrence,https://en.wikipedia.org/wiki/Joey_Lawrence,0,123,Success
Mario Lopez,3,2006,Mario Lopez,https://en.wikipedia.org/wiki/Mario_Lopez,0,369,Success
Emmitt Smith,3,2006,Emmitt Smith,https://en.wikipedia.org/wiki/Emmitt_Smith,0,372,Success
Shanna Moakler,3,2006,Shanna Moakler,https://en.wikipedia.org/wiki/Shanna_Moakler,0,173,Success
Willa Ford,3,2006,Willa Ford,https://en.wikipedia.org/wiki/Willa_Ford,0,642,Success
Sara Evans,3,2006,Sara Evans,https://en.wikipedia.org/wiki/Sara_Evans,0,476,Success
