season,year,celebrity_name,celebrity_total_pageviews,celebrity_total_edits,ballroom_partner,ballroom_total_pageviews,ballroom_total_edits
1,2005,John O'Hurley,0,49,Charlotte Jorgensen,0,0
1,2005,Kelly Monaco,0,114,Alec Mazo,0,0
1,2005,Evander Holyfield,0,47,Edyta Sliwinska,0,12
1,2005,Rachel Hunter,0,24,Jonathan Roberts,0,2
1,2005,Joey McIntyre,0,31,Ashly DelGrosso,0,0
1,2005,Trista Sutter,0,39,Louis van Amstel,0,0
2,2006,Tatum O'Neal,0,83,Nick Kosovich,0,17
2,2006,Tia Carrere,0,123,Maksim Chmerkoskiy,0,0
2,2006,George Hamilton,0,0,Edyta Sliwinska,0,771
2,2006,Lisa Rinna,0,98,Louis van Amstel,0,34
2,2006,Stacy Keibler,0,1098,Tony Dovolani,0,43
2,2006,Jerry Rice,0,495,Anna Trebunskaya,0,0
2,2006,Giselle Fernandez,0,0,Jonathan Roberts,0,5
2,2006,Master P,0,668,Ashly DelGrosso,0,39
2,2006,Drew Lachey,0,97,Cheryl Burke,0,123
2,2006,Kenny Mayne,0,64,Andrea Hale,0,0
3,2006,Harry Hamlin,0,0,Ashly DelGrosso,0,39
3,2006,Vivica A. Fox,0,104,Nick Kosovich,0,17
3,2006,Monique Coleman,0,427,Louis van Amstel,0,34
3,2006,Joey Lawrence,0,123,Edyta Sliwinska,0,771
3,2006,Mario Lopez,0,369,Karina Smirnoff,0,109
3,2006,Emmitt Smith,0,372,Cheryl Burke,0,123
3,2006,Shanna Moakler,0,173,Jesse DeSoto,0,0
3,2006,Willa Ford,0,642,Maksim Chmerkoskiy,0,0
3,2006,Sara Evans,0,476,Tony Dovolani,0,43
3,2006,Jerry Springer,0,330,Kym Johnson,0,0
3,2006,Tucker Carlson,0,750,Elena Grinenko,0,0
4,2007,John Ratzenberger,0,193,Edyta Sliwinska,0,2095
4,2007,Ian Ziering,0,104,Cheryl Burke,0,288
4,2007,Clyde Drexler,0,133,Elena Grinenko,0,6
4,2007,Laila Ali,0,170,Maksim Chmerkoskiy,0,11
4,2007,Apolo Anton Ohno,0,109,Julianne Hough,0,363
4,2007,Shandi Finnessey,0,136,Brian Fortuna,0,17
4,2007,Paulina Porizkova,0,136,Alec Mazo,0,37
4,2007,Heather Mills,0,594,Jonathan Roberts,0,9
4,2007,Billy Ray Cyrus,0,1847,Karina Smirnoff,0,218
4,2007,Joey Fatone,0,344,Kym Johnson,0,0
4,2007,Leeza Gibbons,0,36,Tony Dovolani,0,129
5,2007,Cameron Mathison,0,54,Edyta Sliwinska,0,2095
5,2007,Jane Seymour,0,235,Tony Dovolani,0,129
5,2007,Sabrina Bryan,0,481,Mark Ballas,0,61
5,2007,Jennie Garth,0,155,Derek Hough,0,65
5,2007,Floyd Mayweather Jr. ,0,1249,Karina Smirnoff,0,218
5,2007,Josie Maran,0,190,Alec Mazo,0,37
5,2007,Albert Reed,0,30,Anna Trebunskaya,0,34
5,2007,Helio Castroneves,0,16,Julianne Hough,0,363
5,2007,Mel B,0,520,Maksim Chmerkoskiy,0,11
5,2007,Wayne Newton,0,224,Cheryl Burke,0,288
5,2007,Marie Osmond,0,431,Jonathan Roberts,0,9
5,2007,Mark Cuban,0,734,Kym Johnson,0,0
6,2008,Cristian de la Fuente,0,0,Cheryl Burke,0,466
6,2008,Steve Guttenberg,0,207,Anna Trebunskaya,0,50
6,2008,Priscilla Presley,0,297,Louis van Amstel,0,63
6,2008,Marlee Matlin,0,182,Fabian Sanchez,0,24
6,2008,Shannon Elizabeth,0,300,Derek Hough,0,315
6,2008,Marissa Jaret Winokur,0,123,Tony Dovolani,0,235
6,2008,Jason Taylor,0,340,Edyta Sliwinska,0,3193
6,2008,Kristi Yamaguchi,0,368,Mark Ballas,0,248
6,2008,Monica Seles,0,297,Jonathan Roberts,0,11
6,2008,Penn Jillette,0,183,Kym Johnson,0,0
6,2008,Adam Carolla,0,305,Julianne Hough,0,979
6,2008,Mario,0,842,Karina Smirnoff,0,365
7,2008,Ted McGinley,0,72,Inna Brayer,0,18
7,2008,Cloris Leachman,0,206,Corky Ballas,0,92
7,2008,Susan Lucci,0,160,Tony Dovolani,0,235
7,2008,Cody Linley,0,877,Julianne Hough,0,979
7,2008,Misty May-Treanor,0,0,Maksim Chmerkoskiy,0,43
7,2008,Maurice Greene,0,0,Cheryl Burke,0,466
7,2008,Warren Sapp,0,357,Kym Johnson,0,0
7,2008,Jeffrey Ross,0,0,Edyta Sliwinska,0,3193
7,2008,Toni Braxton,0,436,Alec Mazo,0,51
7,2008,Lance Bass,0,571,Lacey Schwimmer,0,374
7,2008,Kim Kardashian,0,1243,Mark Ballas,0,248
7,2008,Rocco DiSpirito,0,53,Karina Smirnoff,0,365
7,2008,Brooke Burke,0,339,Derek Hough,0,315
8,2009,Gilles Marini,0,128,Cheryl Burke,0,617
8,2009,Denise Richards,0,240,Maksim Chmerkoskiy,0,80
8,2009,David Alan Grier,0,127,Kym Johnson,0,35
8,2009,Lawrence Taylor,0,174,Edyta Sliwinska,0,4447
8,2009,Ty Murray,0,132,Chelsie Hightower,0,173
8,2009,Shawn Johnson,0,477,Mark Ballas,0,567
8,2009,Steve Wozniak,0,556,Karina Smirnoff,0,523
8,2009,Belinda Carlisle,0,412,Jonathan Roberts,0,17
8,2009,Chuck Wicks,0,157,Julianne Hough,0,1370
8,2009,Lil' Kim,0,532,Derek Hough,0,514
8,2009,Steve-O,0,195,Lacey Schwimmer,0,580
8,2009,Holly Madison,0,335,Dmitry Chaplin,0,219
8,2009,Melissa Rycroft,0,381,Tony Dovolani,0,376
9,2009,Ashley Hamiliton,0,0,Edyta Sliwinska,0,4447
9,2009,Debi Mazar,0,77,Maksim Chmerkoskiy,0,80
9,2009,Melissa Joan Hart,0,322,Mark Ballas,0,567
9,2009,Mark Dacascos,0,95,Lacey Schwimmer,0,580
9,2009,Chuck Liddell,0,315,Anna Trebunskaya,0,69
