season,week,celebrity_name,v_predicted_share,judge_avg_score
1,Week_1,John O'Hurley,0.1666927823047195,6.666666666666667
1,Week_1,Kelly Monaco,0.1584695821783977,4.333333333333333
1,Week_1,Evander Holyfield,0.1810521411834819,6.0
1,Week_1,Rachel Hunter,0.14747958148106063,6.666666666666667
1,Week_1,Joey McIntyre,0.1602555410768372,6.666666666666667
1,Week_1,Trista Sutter,0.18605037177550293,6.0
1,Week_2,John O'Hurley,0.1666927823047195,8.666666666666666
1,Week_2,Kelly Monaco,0.1584695821783977,5.666666666666667
1,Week_2,Evander Holyfield,0.1810521411834819,4.666666666666667
1,Week_2,Rachel Hunter,0.14747958148106063,8.0
1,Week_2,Joey McIntyre,0.1602555410768372,7.0
1,Week_2,Trista Sutter,0.18605037177550293,6.333333333333333
1,Week_3,John O'Hurley,0.2047949609220089,8.0
1,Week_3,Kelly Monaco,0.19469212428301513,7.0
1,Week_3,Evander Holyfield,0.22243654263767976,4.333333333333333
1,Week_3,Rachel Hunter,0.1811900593931889,8.666666666666666
1,Week_3,Joey McIntyre,0.19688631276410734,7.333333333333333
1,Week_4,John O'Hurley,0.2633803826336207,7.0
1,Week_4,Kelly Monaco,0.2503874409729297,8.666666666666666
1,Week_4,Rachel Hunter,0.23302285836300562,8.333333333333334
1,Week_4,Joey McIntyre,0.25320931803044405,6.666666666666667
1,Week_5,John O'Hurley,0.34340056350502945,9.0
1,Week_5,Kelly Monaco,0.3264601086265965,7.833333333333333
1,Week_5,Joey McIntyre,0.330139327868374,7.5
1,Week_6,John O'Hurley,0.5126447600099624,9.0
1,Week_6,Kelly Monaco,0.4873552399900377,9.166666666666666
2,Week_1,Tatum O'Neal,0.0949065743374629,7.666666666666667
2,Week_1,Tia Carrere,0.09422383845334617,6.666666666666667
2,Week_1,George Hamilton,0.10055663722157836,6.0
2,Week_1,Lisa Rinna,0.09490676241092592,6.333333333333333
2,Week_1,Stacy Keibler,0.1011484877960778,7.333333333333333
2,Week_1,Jerry Rice,0.10535290596906152,7.0
2,Week_1,Giselle Fernandez,0.111156480166674,7.666666666666667
2,Week_1,Master P,0.09370684435821658,4.0
2,Week_1,Drew Lachey,0.0923475297719991,8.0
2,Week_1,Kenny Mayne,0.11169393951465771,4.333333333333333
2,Week_2,Tatum O'Neal,0.10683994915627272,5.666666666666667
2,Week_2,Tia Carrere,0.10607136734141523,7.333333333333333
2,Week_2,George Hamilton,0.11320044036020352,7.333333333333333
2,Week_2,Lisa Rinna,0.10684016087774056,6.666666666666667
2,Week_2,Stacy Keibler,0.11386670911691568,9.666666666666666
2,Week_2,Jerry Rice,0.11859978295262336,7.666666666666667
2,Week_2,Giselle Fernandez,0.12513308769495685,8.0
2,Week_2,Master P,0.1054893673775209,5.333333333333333
2,Week_2,Drew Lachey,0.1039591351223511,9.0
2,Week_3,Tia Carrere,0.11875964138926108,8.666666666666666
2,Week_3,George Hamilton,0.12674149527094083,7.333333333333333
2,Week_3,Lisa Rinna,0.11962039813224246,8.333333333333334
2,Week_3,Stacy Keibler,0.12748746320365656,9.0
2,Week_3,Jerry Rice,0.13278670809401696,6.333333333333333
2,Week_3,Giselle Fernandez,0.1401015278020433,7.333333333333333
2,Week_3,Master P,0.11810802249593447,4.666666666666667
2,Week_3,Drew Lachey,0.11639474361190437,9.0
2,Week_4,Tia Carrere,0.13810891079467053,8.333333333333334
2,Week_4,George Hamilton,0.14739123206834093,7.0
2,Week_4,Lisa Rinna,0.1391099089017857,8.666666666666666
2,Week_4,Stacy Keibler,0.14825873905530992,8.666666666666666
2,Week_4,Jerry Rice,0.1544213792526058,8.0
2,Week_4,Master P,0.13735112494623072,2.6666666666666665
