season,week,index,celebrity_name,v_predicted_share,judge_avg_score
1,Week_1,0,John O'Hurley,0.12250695225128146,6.666666666666667
1,Week_1,1,Kelly Monaco,0.07790763157029743,4.333333333333333
1,Week_1,2,Evander Holyfield,0.19313930215113495,6.0
1,Week_1,3,Rachel Hunter,0.14658216275077654,6.666666666666667
1,Week_1,4,Joey McIntyre,0.28425094343946977,6.666666666666667
1,Week_1,5,Trista Sutter,0.1756130078370398,6.0
1,Week_2,0,John O'Hurley,0.1348073351875078,8.666666666666666
1,Week_2,1,Kelly Monaco,0.090447673347882,5.666666666666667
1,Week_2,2,Evander Holyfield,0.28409197827571053,4.666666666666667
1,Week_2,3,Rachel Hunter,0.1664011942311024,8.0
1,Week_2,4,Joey McIntyre,0.1780040264753188,7.0
1,Week_2,5,Trista Sutter,0.14624779248247843,6.333333333333333
1,Week_3,0,John O'Hurley,0.08164260296704154,8.0
1,Week_3,1,Kelly Monaco,0.253071444582111,7.0
1,Week_3,2,Evander Holyfield,0.24622161068194037,4.333333333333333
1,Week_3,3,Rachel Hunter,0.18753618611514136,8.666666666666666
1,Week_3,4,Joey McIntyre,0.2315281556537657,7.333333333333333
1,Week_4,0,John O'Hurley,0.12365821391393661,7.0
1,Week_4,1,Kelly Monaco,0.4670696804334816,8.666666666666666
1,Week_4,3,Rachel Hunter,0.17726312419027274,8.333333333333334
1,Week_4,4,Joey McIntyre,0.23200898146230914,6.666666666666667
1,Week_5,0,John O'Hurley,0.342975131290112,9.0
1,Week_5,1,Kelly Monaco,0.07910227811285425,7.833333333333333
1,Week_5,4,Joey McIntyre,0.5779225905970338,7.5
1,Week_6,0,John O'Hurley,0.6822607296937979,9.0
1,Week_6,1,Kelly Monaco,0.3177392703062021,9.166666666666666
2,Week_1,6,Tatum O'Neal,0.06668215689442365,7.666666666666667
2,Week_1,7,Tia Carrere,0.23283474120688893,6.666666666666667
2,Week_1,8,George Hamilton,0.07040444988312088,6.0
2,Week_1,9,Lisa Rinna,0.044252642774498877,6.333333333333333
2,Week_1,10,Stacy Keibler,0.09291300499495785,7.333333333333333
2,Week_1,11,Jerry Rice,0.11613357013848094,7.0
2,Week_1,12,Giselle Fernandez,0.06281912689728354,7.666666666666667
2,Week_1,13,Master P,0.06304919457692149,4.0
2,Week_1,14,Drew Lachey,0.13538968875347712,8.0
2,Week_1,15,Kenny Mayne,0.11552142387994666,4.333333333333333
2,Week_2,6,Tatum O'Neal,0.09368287773377348,5.666666666666667
2,Week_2,7,Tia Carrere,0.09188156884398024,7.333333333333333
2,Week_2,8,George Hamilton,0.09485990694710345,7.333333333333333
2,Week_2,9,Lisa Rinna,0.07951973896878878,6.666666666666667
2,Week_2,10,Stacy Keibler,0.126190694954877,9.666666666666666
2,Week_2,11,Jerry Rice,0.12475026074904744,7.666666666666667
2,Week_2,12,Giselle Fernandez,0.1829113772777027,8.0
2,Week_2,13,Master P,0.05817690015744423,5.333333333333333
2,Week_2,14,Drew Lachey,0.14802667436728273,9.0
2,Week_3,7,Tia Carrere,0.23322849943425247,8.666666666666666
2,Week_3,8,George Hamilton,0.09264078273745756,7.333333333333333
2,Week_3,9,Lisa Rinna,0.12691657369081208,8.333333333333334
2,Week_3,10,Stacy Keibler,0.18897143383983397,9.0
2,Week_3,11,Jerry Rice,0.13391855876872144,6.333333333333333
2,Week_3,12,Giselle Fernandez,0.10231421567468706,7.333333333333333
2,Week_3,13,Master P,0.07937966383141692,4.666666666666667
2,Week_3,14,Drew Lachey,0.042630272022818556,9.0
2,Week_4,7,Tia Carrere,0.14040092850576863,8.333333333333334
2,Week_4,8,George Hamilton,0.04752571798170528,7.0
2,Week_4,9,Lisa Rinna,0.13507273549769577,8.666666666666666
2,Week_4,10,Stacy Keibler,0.27734046415390357,8.666666666666666
2,Week_4,11,Jerry Rice,0.07969896070401357,8.0
2,Week_4,13,Master P,0.16295760402922557,2.6666666666666665
2,Week_4,14,Drew Lachey,0.1570035891276876,9.333333333333334
2,Week_5,7,Tia Carrere,0.20617075262841228,7.333333333333333
2,Week_5,8,George Hamilton,0.1336641453631839,8.0
2,Week_5,9,Lisa Rinna,0.17604544240948158,8.333333333333334
2,Week_5,10,Stacy Keibler,0.23789132452105108,10.0
2,Week_5,11,Jerry Rice,0.12433111418225597,7.666666666666667
2,Week_5,14,Drew Lachey,0.12189722089561524,9.0
2,Week_6,8,George Hamilton,0.19086784742873605,7.666666666666667
2,Week_6,9,Lisa Rinna,0.13536277918196643,9.0
2,Week_6,10,Stacy Keibler,0.3054452817338451,10.0
2,Week_6,11,Jerry Rice,0.2165522037992722,7.666666666666667
2,Week_6,14,Drew Lachey,0.15177188785618026,10.0
2,Week_7,9,Lisa Rinna,0.20369889478389294,8.833333333333334
2,Week_7,10,Stacy Keibler,0.3311727358852413,9.166666666666666
2,Week_7,11,Jerry Rice,0.24983263939598999,6.833333333333333
2,Week_7,14,Drew Lachey,0.2152957299348757,9.166666666666666
2,Week_8,10,Stacy Keibler,0.48850784785326856,9.5555
2,Week_8,11,Jerry Rice,0.25704805656670027,8.888866666666667
2,Week_8,14,Drew Lachey,0.2544440955800312,9.6666
3,Week_1,16,Harry Hamlin,0.06000300664900588,5.666666666666667
3,Week_1,17,Vivica A. Fox,0.07642389142534994,7.333333333333333
3,Week_1,18,Monique Coleman,0.06457911780947095,6.333333333333333
3,Week_1,19,Joey Lawrence,0.08292924816645879,7.0
3,Week_1,20,Mario Lopez,0.1100450667473697,8.666666666666666
3,Week_1,21,Emmitt Smith,0.03795728192136273,8.0
3,Week_1,22,Shanna Moakler,0.11812339984814964,6.0
3,Week_1,23,Willa Ford,0.1385694086345288,7.333333333333333
3,Week_1,24,Sara Evans,0.04814773457342685,5.0
3,Week_1,25,Jerry Springer,0.17648488109549396,5.333333333333333
3,Week_1,26,Tucker Carlson,0.08673696312938275,4.0
3,Week_2,16,Harry Hamlin,0.0912121588704143,7.0
3,Week_2,17,Vivica A. Fox,0.1506106562141401,8.0
3,Week_2,18,Monique Coleman,0.060068581185220904,8.666666666666666
3,Week_2,19,Joey Lawrence,0.05147261984638218,9.666666666666666
3,Week_2,20,Mario Lopez,0.06970074926796266,7.0
