index,celebrity_age_during_season,weeks,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
0,50,6,5.0,48.33333333333333,1,0,0,0,0,0,0
1,29,6,6.0,42.66666666666666,1,0,0,0,0,0,0
2,42,3,2.0,15.0,0,0,0,0,0,1,0
3,35,4,3.0,31.666666666666668,0,0,1,0,0,0,0
4,32,5,4.0,35.16666666666667,0,0,0,1,0,0,0
5,32,2,1.0,12.333333333333332,0,0,0,0,0,0,1
6,42,2,2.0,13.333333333333334,1,0,0,0,0,0,0
7,39,5,5.0,38.333333333333336,1,0,0,0,0,0,0
8,66,6,6.0,43.33333333333333,1,0,0,0,0,0,0
9,42,7,7.0,56.16666666666667,1,0,0,0,0,0,0
10,26,8,8.0,73.38883333333334,0,0,0,0,0,1,0
11,43,8,9.0,60.05553333333334,0,0,0,0,0,1,0
12,44,3,3.0,23.0,0,0,0,0,0,0,1
13,35,4,4.0,16.666666666666664,0,0,0,1,0,0,0
14,29,8,10.0,73.1666,0,0,0,1,0,0,0
15,46,1,1.0,4.333333333333333,0,0,0,0,0,0,1
16,54,3,3.0,20.0,1,0,0,0,0,0,0
17,42,4,4.0,32.33333333333333,1,0,0,0,0,0,0
18,25,8,8.0,66.5,1,0,0,0,0,0,0
19,30,9,9.0,77.66666666666667,1,0,0,0,0,0,0
20,32,10,10.0,89.55553333333334,1,0,0,0,0,0,0
21,37,10,11.0,85.88886666666667,0,0,0,0,0,1,0
22,31,2,2.0,13.333333333333332,0,0,1,0,0,0,0
23,25,5,5.0,40.66666666666667,0,0,0,1,0,0,0
24,35,5,6.0,35.0,0,0,0,1,0,0,0
25,62,7,7.0,47.66666666666667,0,0,0,0,0,0,1
26,37,1,1.0,4.0,0,0,0,0,0,0,1
27,59,7,6.0,44.5,1,0,0,0,0,0,0
28,42,9,8.0,72.83333333333333,1,0,0,0,0,0,0
29,44,5,4.0,26.0,0,0,0,0,0,1,0
30,29,10,9.0,87.4444,0,0,0,0,0,1,0
31,24,10,11.0,89.61106666666666,0,0,0,0,0,1,0
32,28,3,2.0,20.0,0,0,1,0,0,0,0
33,41,2,1.0,13.333333333333332,0,0,1,0,0,0,0
34,39,6,5.0,44.333333333333336,0,0,1,0,0,0,0
35,45,8,7.0,50.66666666666667,0,0,0,1,0,0,0
36,30,10,10.0,89.22216666666667,0,0,0,1,0,0,0
37,50,4,3.0,25.33333333333333,0,0,0,0,0,0,1
38,38,8,8.0,64.66666666666667,1,0,0,0,0,0,0
39,56,7,7.0,57.0,1,0,0,0,0,0,0
40,23,6,6.0,54.0,1,0,0,0,0,0,0
41,35,9,9.0,75.83333333333333,1,0,0,0,0,0,0
42,30,4,4.0,27.666666666666668,0,0,0,0,0,1,0
43,29,1,1.0,5.333333333333333,0,0,1,0,0,0,0
44,22,2,2.0,14.0,0,0,1,0,0,0,0
45,32,10,12.0,88.83330000000001,0,0,0,0,0,1,0
46,32,10,11.0,90.77773333333332,0,0,0,1,0,0,0
47,65,3,3.0,17.333333333333332,0,0,0,1,0,0,0
48,47,10,10.0,80.83333333333333,0,0,0,1,0,0,0
49,49,5,5.0,34.0,0,0,0,0,0,0,1
50,34,10,10.0,82.5,1,0,0,0,0,0,0
51,49,3,3.0,18.33333333333333,1,0,0,0,0,0,0
52,62,5,5.0,38.0,1,0,0,0,0,0,0
53,42,6,6.0,44.66666666666666,1,0,0,0,0,0,0
54,34,7,7.0,56.5,1,0,0,0,0,0,0
55,35,9,9.0,69.66666666666667,1,0,0,0,0,0,0
56,33,10,11.0,87.16666666666667,0,0,0,0,0,1,0
57,36,10,12.0,94.0,0,0,0,0,0,1,0
58,34,2,2.0,10.0,0,0,0,0,0,1,0
59,53,2,1.0,11.0,1,0,0,0,0,0,0
60,43,4,4.0,24.666666666666664,0,0,0,0,0,0,1
61,21,8,8.0,67.33333333333334,0,0,0,1,0,0,0
62,50,1,2.0,6.166666666666667,1,0,0,0,0,0,0
63,82,6,7.0,35.0,1,0,0,0,0,0,0
64,61,7,8.0,51.16666666666667,1,0,0,0,0,0,0
65,18,9,10.0,68.5,1,0,0,0,0,0,0
66,31,2,4.0,14.0,0,0,0,0,0,1,0
67,34,8,9.0,59.833333333333336,0,0,0,0,0,1,0
68,35,10,12.0,80.83333333333334,0,0,0,0,0,1,0
69,43,1,1.0,4.0,1,0,0,0,0,0,0
70,40,5,6.0,37.16666666666667,0,0,0,1,0,0,0
71,29,10,11.0,81.16666666666667,0,0,0,1,0,0,0
72,27,2,3.0,11.833333333333334,0,0,0,0,0,0,1
73,41,4,5.0,23.833333333333336,0,0,0,0,0,0,1
74,37,10,13.0,89.83333333333333,0,0,0,0,0,0,1
75,33,11,12.0,101.5,1,0,0,0,0,0,0
76,38,3,2.0,18.33333333333333,1,0,0,0,0,0,0
77,52,5,5.0,34.666666666666664,1,0,0,0,0,0,0
78,50,7,7.0,46.0,0,0,0,0,0,1,0
79,39,10,10.0,72.66666666666667,0,0,0,0,0,1,0
80,17,11,13.0,97.0,0,0,0,0,0,1,0
81,58,4,4.0,17.333333333333336,0,0,0,0,1,0,0
82,50,2,1.0,11.666666666666668,0,0,0,1,0,0,0
83,29,8,8.0,61.16666666666667,0,0,0,1,0,0,0
84,34,9,9.0,76.66666666666667,0,0,0,1,0,0,0
85,34,6,6.0,31.666666666666668,0,0,0,0,0,0,1
86,30,4,3.0,23.0,0,0,0,0,0,0,1
87,26,11,11.0,97.83333333333334,0,0,0,0,0,0,1
88,34,1,1.0,6.3333,1,0,0,0,0,0,0
89,45,3,5.0,20.0,1,0,0,0,0,0,0
