index,celebrity_industry,celebrity_age_during_season,placement,season,1,2,3,4,5,6,7,8,9,10,11,weeks,elimination_order,score_sum
0,Actor/Actress,50,2,1,6.666666666666667,8.666666666666666,8.0,7.0,9.0,9.0,,,,,,6,5.0,48.33333333333333
1,Actor/Actress,29,1,1,4.333333333333333,5.666666666666667,7.0,8.666666666666666,7.833333333333333,9.166666666666666,,,,,,6,6.0,42.666666666666664
2,Athlete,42,5,1,6.0,4.666666666666667,4.333333333333333,,,,,,,,,3,2.0,15.0
3,Model,35,4,1,6.666666666666667,8.0,8.666666666666666,8.333333333333334,,,,,,,,4,3.0,31.666666666666668
4,Singer/Rapper,32,3,1,6.666666666666667,7.0,7.333333333333333,6.666666666666667,7.5,,,,,,,5,4.0,35.16666666666667
5,TV Personality,32,6,1,6.0,6.333333333333333,,,,,,,,,,2,1.0,12.333333333333332
6,Actor/Actress,42,9,2,7.666666666666667,5.666666666666667,,,,,,,,,,2,2.0,13.333333333333334
7,Actor/Actress,39,6,2,6.666666666666667,7.333333333333333,8.666666666666666,8.333333333333334,7.333333333333333,,,,,,,5,5.0,38.333333333333336
8,Actor/Actress,66,5,2,6.0,7.333333333333333,7.333333333333333,7.0,8.0,7.666666666666667,,,,,,6,6.0,43.33333333333333
9,Actor/Actress,42,4,2,6.333333333333333,6.666666666666667,8.333333333333334,8.666666666666666,8.333333333333334,9.0,8.833333333333334,,,,,7,7.0,56.16666666666667
10,Athlete,26,3,2,7.333333333333333,9.666666666666666,9.0,8.666666666666666,10.0,10.0,9.166666666666666,9.5555,,,,8,8.0,73.38883333333334
11,Athlete,43,2,2,7.0,7.666666666666667,6.333333333333333,8.0,7.666666666666667,7.666666666666667,6.833333333333333,8.888866666666667,,,,8,9.0,60.05553333333334
12,News Anchor,44,8,2,7.666666666666667,8.0,7.333333333333333,,,,,,,,,3,3.0,23.0
13,Singer/Rapper,35,7,2,4.0,5.333333333333333,4.666666666666667,2.6666666666666665,,,,,,,,4,4.0,16.666666666666664
14,Singer/Rapper,29,1,2,8.0,9.0,9.0,9.333333333333334,9.0,10.0,9.166666666666666,9.6666,,,,8,10.0,73.1666
15,Sports Broadcaster,46,10,2,4.333333333333333,,,,,,,,,,,1,1.0,4.333333333333333
16,Actor/Actress,54,9,3,5.666666666666667,7.0,7.333333333333333,,,,,,,,,3,3.0,20.0
17,Actor/Actress,42,8,3,7.333333333333333,8.0,9.0,8.0,,,,,,,,4,4.0,32.33333333333333
18,Actor/Actress,25,4,3,6.333333333333333,8.666666666666666,9.0,8.0,9.0,7.666666666666667,9.0,8.833333333333334,,,,8,8.0,66.5
19,Actor/Actress,30,3,3,7.0,9.666666666666666,7.333333333333333,9.0,8.333333333333334,8.0,9.5,9.0,9.833333333333334,,,9,9.0,77.66666666666667
20,Actor/Actress,32,2,3,8.666666666666666,7.0,7.333333333333333,9.666666666666666,9.0,9.333333333333334,9.333333333333334,9.5,9.833333333333334,9.888866666666667,,10,10.0,89.55553333333334
21,Athlete,37,1,3,8.0,8.0,6.333333333333333,8.0,9.0,8.333333333333334,9.5,9.0,9.833333333333334,9.888866666666667,,10,11.0,85.88886666666667
22,Model,31,10,3,6.0,7.333333333333333,,,,,,,,,,2,2.0,13.333333333333332
23,Singer/Rapper,25,7,3,7.333333333333333,7.666666666666667,7.333333333333333,9.333333333333334,9.0,,,,,,,5,5.0,40.66666666666667
24,Singer/Rapper,35,6,3,5.0,7.0,8.333333333333334,6.666666666666667,8.0,,,,,,,5,6.0,35.0
25,TV Personality,62,5,3,5.333333333333333,6.333333333333333,7.0,7.333333333333333,8.0,6.0,7.666666666666667,,,,,7,7.0,47.66666666666667
26,TV Personality,37,11,3,4.0,,,,,,,,,,,1,1.0,4.0
27,Actor/Actress,59,6,4,5.666666666666667,7.0,6.666666666666667,5.333333333333333,6.0,6.333333333333333,7.5,,,,,7,6.0,44.5
28,Actor/Actress,42,4,4,7.0,7.333333333333333,8.0,8.0,8.0,8.0,9.0,7.833333333333333,9.666666666666666,,,9,8.0,72.83333333333333
29,Athlete,44,8,4,5.333333333333333,6.0,5.333333333333333,5.0,4.333333333333333,,,,,,,5,4.0,25.999999999999996
30,Athlete,29,3,4,7.666666666666667,9.0,7.0,7.0,9.333333333333334,9.333333333333334,9.833333333333334,8.833333333333334,10.0,9.444400000000002,,10,9.0,87.4444
31,Athlete,24,1,4,7.0,8.666666666666666,7.666666666666667,8.666666666666666,10.0,9.333333333333334,9.0,9.666666666666666,9.833333333333334,9.777733333333334,,10,11.0,89.61106666666666
32,Beauty Pagent,28,10,4,6.333333333333333,6.666666666666667,7.0,,,,,,,,,3,2.0,20.0
33,Model,41,11,4,6.333333333333333,7.0,,,,,,,,,,2,1.0,13.333333333333332
34,Model,39,7,4,6.0,8.0,8.0,7.666666666666667,7.0,7.666666666666667,,,,,,6,5.0,44.333333333333336
35,Singer/Rapper,45,5,4,4.333333333333333,7.0,7.0,7.0,5.666666666666667,7.0,6.333333333333333,6.333333333333333,,,,8,7.0,50.66666666666667
36,Singer/Rapper,30,2,4,8.0,8.0,8.0,9.333333333333334,8.333333333333334,9.0,9.833333333333334,9.166666666666666,10.0,9.5555,,10,10.0,89.22216666666667
37,TV Personality,50,9,4,5.0,7.0,8.0,5.333333333333333,,,,,,,,4,3.0,25.333333333333332
38,Actor/Actress,38,5,5,7.0,7.0,7.666666666666667,9.0,8.666666666666666,8.333333333333334,8.5,8.5,,,,8,8.0,64.66666666666667
39,Actor/Actress,56,6,5,8.0,7.0,9.0,8.666666666666666,8.666666666666666,7.333333333333333,8.333333333333334,,,,,7,7.0,57.0
40,Actor/Actress,23,7,5,8.666666666666666,8.666666666666666,9.0,10.0,9.333333333333334,8.333333333333334,,,,,,6,6.0,54.0
