season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
1,Week_1,John O'Hurley,0.1434908826591538,0.09575023113053642,0.2572645549106888,0.041628754025514615,-0.0040981350741872,0.2693806119069614
1,Week_1,Kelly Monaco,0.1038909800394554,0.08838378234787012,0.27155766327933845,0.04852211330367214,-0.0141820985335064,0.3080982650682253
1,Week_1,Evander Holyfield,0.1878850823121666,0.07330274080357317,0.3257109810608407,0.06563704734684418,0.0125772658152701,0.4383821332105906
1,Week_1,Rachel Hunter,0.1570689104013949,0.11015499398493972,0.2165186948560365,0.026511316985714715,-0.0284090395211419,0.1188196368934692
1,Week_1,Joey McIntyre,0.2238780346046556,0.09811977845516152,0.25457969369265854,0.03902989227402273,-0.0111688925324059,0.2314977490993023
1,Week_1,Trista Sutter,0.1837861099831736,0.08497447823527805,0.3061983024956555,0.058074549815842674,0.0175191535428048,0.3675540622454517
1,Week_2,John O'Hurley,0.1462296851812837,0.09667027234721513,0.25490052482765363,0.041114999691102265,-0.0040981350741872,0.2693806119069614
1,Week_2,Kelly Monaco,0.1107060883848243,0.08798179468686877,0.2683198878088463,0.04654487164987264,-0.0141820985335064,0.3080982650682253
1,Week_2,Evander Holyfield,0.2433089519873608,0.07564790135316911,0.324917060805292,0.06409635818742543,0.0125772658152701,0.4383821332105906
1,Week_2,Rachel Hunter,0.1718614783628187,0.11541647805361445,0.21787651960660462,0.02588950595995123,-0.0284090395211419,0.1188196368934692
1,Week_2,Joey McIntyre,0.1784905497081368,0.09773960437299206,0.2485126235703455,0.03812960360466342,-0.0111688925324059,0.2314977490993023
1,Week_2,Trista Sutter,0.1494032463755755,0.08806482207454244,0.2979746283240264,0.05419786642909839,0.0175191535428048,0.3675540622454517
1,Week_3,John O'Hurley,0.1098910791960518,0.11604501553592668,0.3065898003964874,0.04761430731655935,-0.0040981350741872,0.2693806119069614
1,Week_3,Kelly Monaco,0.2466474822202566,0.11041820461665619,0.314954732631744,0.05269261275787198,-0.0141820985335064,0.3080982650682253
1,Week_3,Evander Holyfield,0.2366593758348582,0.0934392377839422,0.37934981017323655,0.07563538601365433,0.0125772658152701,0.4383821332105906
1,Week_3,Rachel Hunter,0.188720920767714,0.13646631935474246,0.2545043312329297,0.03070996332908198,-0.0284090395211419,0.1188196368934692
1,Week_3,Joey McIntyre,0.2180811419811192,0.12065402953820874,0.2912393112203494,0.044066790435016726,-0.0111688925324059,0.2314977490993023
1,Week_4,John O'Hurley,0.1571364698620366,0.15745460117859783,0.37566545261894224,0.054178325138985226,-0.0040981350741872,0.2693806119069614
1,Week_4,Kelly Monaco,0.3991092248906571,0.14652674014891573,0.390818577407626,0.0631044844141232,-0.0141820985335064,0.3080982650682253
